hour;SE3;NO1;DK1
1;28.78;46.6;64.39
2;28.45;41.33;64.39
3;27.9;42.18;65.03
4;27.52;44.37;65.03
5;27.54;37.67;66.34
6;26.55;39.7;73.71
7;25.83;40.59;74.74
8;25.07;43.26;74.74
9;25.65;49.66;74.74
10;26.15;70.05;74.74
11;26.77;76.79;76.24
12;27.4;84.1;76.24
13;28.08;94.74;85.27
14;28.69;96.8;85.27
15;29.37;97.17;85.29
16;29.97;101.27;85.3
17;30.46;126.6;114.87
18;30.39;149.97;85.27
19;30.06;146.33;168.81
20;29.38;140.28;83.59
21;27.65;121.88;76.24
22;27.33;102.61;74.74
23;25.88;95.12;74.74
24;24.81;83.11;65.68
25;12.07;34.73;26.34
26;13.13;34.39;23.73
27;19.07;34.36;17.74
28;21.12;34.1;17.74
29;24.29;29.56;17.57
30;26.27;33.97;17.57
31;27.74;34.52;24.09
32;28.39;41.8;26.34
33;29.37;48.95;26.34
34;29.95;60.01;26.34
35;29.91;70.09;26.34
36;29.96;66.26;26.34
37;29.94;64.54;26.71
38;29.94;46.96;26.71
39;30.18;49.06;26.71
40;30.96;74.99;26.71
41;31.2;88.15;27.24
42;30.98;95.4;26.71
43;30.35;86.71;26.15
44;29.27;71.27;17.74
45;28.17;54.12;15.43
46;28.02;46.16;12.42
47;27.69;46.29;12.11
48;24.39;32.93;11.76
49;18.93;20.89;11.53
50;9.98;19.92;3.69
51;1.53;19.87;11.76
52;0.14;19.82;11.99
53;0.85;20.26;12.3
54;9.92;29.35;16.74
55;24.48;37.55;17.39
56;26.68;88.76;17.63
57;28.12;122.93;17.39
58;28.58;110.17;17.39
59;28.16;93.38;17.39
60;28.78;90.73;17.39
61;28.31;82.37;17.31
62;28.44;80.9;17.31
63;28.96;80.99;17.31
64;29.86;98.05;17.31
65;30.15;120.55;17.31
66;30.07;139.57;17.31
67;29.54;134.69;17.13
68;29.11;114.82;16.67
69;27.91;92.91;12.42
70;27.03;72.39;12.3
71;25.7;39.45;11.99
72;22.04;34.4;11.99
73;21.73;39.99;0
74;15.95;37.14;0
75;16.23;36.66;0
76;6.45;38.64;0
77;3.83;41.02;12.11
78;4.03;93.97;12.3
79;4.04;122.39;13.3
80;19.07;154.93;15.99
81;17.49;167.88;15.99
82;24.18;166.65;15.99
83;24.94;167.29;15.99
84;25.11;164.62;15.99
85;24.94;159.98;15.94
86;24.95;155.69;15.94
87;25.25;155.16;15.94
88;26.33;158.45;15.94
89;27.36;161.35;15.94
90;28.88;167.76;15.94
91;29.58;164.46;15.83
92;29.42;153.88;15.83
93;27.71;146.81;12.73
94;27.4;128.75;12.22
95;27.37;112.96;11.76
96;25.77;84.11;0
97;26.65;93.87;0
98;27.13;51.69;0
99;27.11;50.04;0
100;27.42;49.53;0
101;28.06;50.07;0
102;28.85;93.39;11.99
103;29.26;99.16;13.11
