hour;SE3;NO1;DK1
1;56.32503284;17.69200705;56.32503406
2;56.32503241;17.69200705;56.32503322
3;56.32503288;17.69200705;56.32503323
4;56.32503347;17.69200705;56.32503359
5;58.03173531;17.69200705;57.45716473
6;74.0025727;17.69200705;73.26987281
7;78.14345165;17.69200706;77.07791667
8;78.14345257;17.69200706;77.36975506
9;78.14347952;17.69200706;77.36978307
10;79.30132621;17.69200706;78.51616742
11;79.7141347;17.69200706;79.7141352
12;79.71413508;17.69200706;79.71413575
13;82.12954442;17.69200706;83.78034896
14;81.31638966;17.69200706;83.78034605
15;81.31639621;17.69200706;83.78034859
16;81.3163897;17.69200706;83.78034711
17;81.31638934;17.69200706;142.7485757
18;81.31638889;17.69200706;83.78054439
19;81.31638847;17.69200706;115.3065401
20;79.71413572;17.69200706;82.12955366
21;79.7141338;17.69200706;81.31638906
22;78.14345215;17.69200706;78.92493232
23;43.297987;17.69200706;43.29798782
24;43.90392648;17.69200705;43.90392634
25;31.02539234;17.69200705;31.02539219
26;29.40828328;17.69200705;29.40828374
27;28.8288258;17.69200705;28.82882611
28;20.53345351;17.69200705;20.53345348
29;28.82882566;17.69200705;28.82882618
30;28.82883025;17.69200705;29.40828353
31;31.33568279;17.69200706;31.96552553
32;31.45974223;17.69200706;32.09208139
33;31.3356825;17.69200706;31.96552728
34;31.33568101;17.69200706;31.96552624
35;31.33568188;17.69200706;31.96552604
36;31.33568268;17.69200706;31.96552539
37;31.45974231;17.69200706;31.77434141
38;31.02539013;17.69200706;31.02539289
39;30.73998689;17.69200706;30.73998842
40;31.02538611;17.69200706;31.02539049
41;31.64901195;17.69200706;31.96550446
42;31.45973985;17.69200706;31.4597414
43;26.49358252;17.69200706;26.49358252
44;17.86892522;17.69200706;17.8689261
45;17.34340494;17.69200703;17.34340449
46;15.63046597;17.69200702;15.47571224
47;12.20348483;17.69200702;12.20348207
48;12.10000117;17.692007;12.09999737
49;12.20347825;17.692007;12.20347242
50;12.1000017;17.692007;11.98019828
51;12.20348975;17.692007;12.08266361
52;14.82666689;17.692007;13.04557127
53;15.63047156;17.692007;15.47571251
54;17.34340541;17.69200702;17.17168986
55;17.69200928;17.69200705;17.51683904
56;17.69288562;17.69200705;17.5168416
57;17.69244888;17.69200705;17.51683942
58;17.69244805;17.69200705;17.51683905
59;17.6920083;17.69200705;17.51683876
60;17.69200947;17.69200705;17.51683874
61;17.51595534;17.69200704;17.51595537
62;17.51245949;17.69200704;17.51245966
63;17.51595479;17.69200704;17.51595528
64;17.51683967;17.69200705;17.51683903
65;17.62221292;17.69200705;17.51683923
66;17.6257393;17.69200705;17.5168393
67;17.52996756;17.69200705;17.51683903
68;17.51683813;17.69200704;17.51683796
69;16.7537504;17.69200703;16.75375054
70;15.94463784;17.69200702;15.94463805
71;15.78678191;17.69200702;15.94463602
72;15.78678311;17.69200701;15.94463383
73;15.63046507;17.692007;15.32249203
74;15.475707;17.692007;15.17077518
75;15.47570196;17.692007;15.17076934
76;12.59131015;17.692007;12.22104058
77;15.63046659;17.692007;15.32248708
78;15.94463725;17.69200701;15.94463627
79;17.57209043;17.69200704;17.51683777
80;17.69200692;17.69200705;17.51683896
81;17.69200688;17.69200705;17.51683906
82;17.69200596;17.69200705;17.51683881
83;17.69200064;17.69200704;17.5168383
84;17.69200617;17.69200705;17.51683859
85;17.34341378;17.69200704;17.34341379
86;17.34341338;17.69200704;17.34341371
87;17.34341339;17.69200704;17.34341394
88;17.34341358;17.69200704;17.3434144
89;17.51683844;17.69200705;17.51683849
90;17.61080093;17.69200705;17.51683892
91;17.66315242;17.69200705;17.51683852
92;17.51683935;17.69200704;17.51683789
93;17.34340436;17.69200703;17.34340424
94;15.63046859;17.69200703;15.63046727
95;15.47570803;17.69200702;15.47570167
96;15.47570311;17.69200701;15.47570059
97;12.09999529;17.692007;12.09999421
98;11.96302731;17.692007;11.96302627
99;11.96302176;17.692007;11.96302072
100;11.96302444;17.69200699;11.96302357
101;11.96303115;17.692007;11.96303011
102;13.46967776;17.692007;13.60436399
103;17.34340486;17.69200704;17.51683904
104;17.66317059;17.69200705;17.83980207
105;17.66317329;17.69200705;17.83980411
106;17.66317103;17.69200705;17.83980236
107;17.66317207;17.69200705;17.83980339
108;17.66317237;17.69200705;17.83980368
109;17.34344904;17.69200705;17.5168838
110;17.66315138;17.69200706;17.83980316
111;17.50329893;17.69200705;17.83967598
112;17.50329933;17.69200706;17.8398031
113;17.6919978;17.69200706;17.86892683
114;17.67376251;17.69200706;17.86892584
115;17.6920062;17.69200706;17.86892632
116;17.66315791;17.69200705;17.83980352
117;17.66316991;17.69200705;17.83980346
118;17.34340447;17.69200705;17.51683962
119;16.10408375;17.69200704;16.42777239
120;16.08922763;17.69200703;16.41261861
121;15.94463408;17.69200703;16.26512042
122;15.944625;17.69200703;16.2651114
123;15.78676675;17.69200703;16.10407989
124;15.78676553;17.69200703;16.10407873
125;15.78678011;17.69200703;16.10409375
126;15.94465796;17.69200703;16.26514528
127;17.34340094;17.69200704;17.51683894
128;17.69200082;17.69200705;17.86892194
129;17.69200132;17.69200705;17.86892294
130;17.6920015;17.69200705;17.86892304
131;17.51683785;17.69200704;17.51683828
132;17.51683994;17.69200705;17.51683932
133;17.51683922;17.69200705;17.51683929
134;17.51683485;17.69200704;17.51683685
135;17.51683561;17.69200705;17.51683859
136;17.51683786;17.69200705;17.51683931
137;17.69200673;17.69200705;17.69200763
138;17.78069596;17.69200705;17.78069692
139;17.86891712;17.69200705;17.86891706
140;17.6920054;17.69200705;17.51730065
141;17.63429893;17.69200704;17.51683943
142;17.51683961;17.69200704;17.51683856
143;17.69198301;17.69200704;17.51683835
144;17.69200121;17.69200703;17.51683694
145;17.63430776;17.69200702;17.4597122
146;17.34340732;17.69200702;17.17169083
147;17.34340487;17.69200701;17.17168757
148;16.60380665;17.692007;16.43941255
149;16.60380657;17.69200701;16.43941257
150;17.34340426;17.69200702;17.17168798
151;17.34340526;17.69200703;17.17169004
152;17.34340546;17.69200703;17.1717307
153;17.51683122;17.69200704;17.51683034
154;17.69200657;17.69200705;17.51683902
155;29.87853845;17.69200705;17.86892679
156;29.87853852;17.69200706;17.86892727
157;30.7338316;17.69200706;17.86892855
158;30.73997574;17.69200706;17.86892804
159;30.73997696;17.69200706;17.86892902
160;30.7399755;17.69200706;17.86892776
161;30.73997538;17.69200706;17.86892708
162;30.73997596;17.69200705;17.86892676
163;30.77073426;17.69200705;17.86892609
164;30.77688419;17.69200705;17.51683974
165;30.67233375;17.69200705;17.51683838
166;17.69202813;17.69200704;16.43941372
167;17.69201697;17.69200704;16.43941309
168;17.69201656;17.69200703;16.43941184
169;18.04760616;17.69200703;16.43940961
170;18.04761237;17.69200703;16.43941181
171;18.04761294;17.69200703;16.43941076
172;18.04761299;17.69200703;16.4394114
173;29.87946287;17.69200704;16.43941317
174;30.73998259;17.69200704;17.5168376
175;30.73997656;17.69200705;17.51683887
176;30.73997959;17.69200705;17.51683921
177;30.50236657;17.69200705;17.51683907
178;30.97762098;17.69200705;17.51683957
179;30.73998384;17.69200705;17.51683922
180;30.73998622;17.69200705;17.51683932
181;30.7399857;17.69200705;17.51683925
182;31.00245294;17.69200705;17.5168464
183;30.7399862;17.69200706;18.89234949
184;30.73998454;17.69200706;18.89234979
185;31.02106155;17.69200706;19.13738459
186;30.73998464;17.69200706;18.89235012
187;30.73998526;17.69200706;18.89235074
188;30.73998819;17.69200706;18.89235065
189;30.73998513;17.69200706;18.8923512
190;30.73998157;17.69200706;18.89234978
191;30.73998507;17.69200706;18.89234897
192;30.73998447;17.69200705;17.5168408
193;30.73998473;17.69200705;17.51684
194;30.73998484;17.69200705;17.51684023
195;30.73998493;17.69200705;17.51684115
196;30.73998475;17.69200705;17.73031567
197;30.73998477;17.69200705;17.73031874
198;30.73998245;17.69200705;17.86892768
199;30.73998683;17.69200706;19.27208629
200;31.11428462;17.69200706;30.80623257
201;31.17034193;17.69200706;31.17034207
202;31.17034296;17.69200706;31.17034339
203;30.73998465;17.69200706;30.43562877
204;30.73998532;17.69200706;19.27208652
205;30.73998504;17.69200706;19.21409749
206;30.73998574;17.69200706;19.21793953
207;30.73998776;17.69200706;19.22178327
208;31.16410655;17.69200706;18.26434936
209;31.17034331;17.69200706;19.2720833
210;31.17036494;17.69200706;19.27208376
211;30.73998431;17.69200706;19.23716878
212;31.17033464;17.69200706;18.8923708
213;29.44889774;17.69200706;18.89235014
214;18.46914435;17.69200706;18.28628061
215;17.69200921;17.69200706;17.73031842
216;17.69200784;17.69200705;17.73031788
217;17.55477698;17.69200705;17.55477566
218;17.51684047;17.69200704;17.51683935
219;17.69200654;17.69200704;17.6920048
220;17.73031448;17.69200705;17.73031256
221;17.90762066;17.69200705;17.73031843
222;17.90762833;17.69200705;17.73032021
223;31.17034643;17.69200706;19.27208565
224;31.17034601;17.69200706;19.28725322
225;30.7399781;17.69200706;19.2720868
226;31.17034653;17.69200706;31.1703466
227;30.73998383;17.69200706;19.29883238
228;30.73998509;17.69200706;19.30269309
229;30.73998495;17.69200706;19.30269316
230;30.7399869;17.69200706;19.30269318
231;31.00870692;17.69200706;19.3026938
232;30.7399867;17.69200706;19.30269333
233;31.00870789;17.69200706;19.32200502
234;31.00870781;17.69200706;19.32586699
235;31.17034342;17.69200706;19.30269392
236;29.77218186;17.69200706;19.3026932
237;20.01127605;17.69200706;18.37060044
238;18.04761876;17.69200705;17.86892769
239;18.0476186;17.69200705;17.8689278
240;17.75847717;17.69200705;17.75847683
241;17.69200767;17.69200704;17.69200775
242;17.69200611;17.69200704;17.69200555
243;17.51684056;17.69200704;17.51683937
244;17.69200306;17.69200704;17.51683928
245;17.69200722;17.69200704;17.51683925
246;17.69200849;17.69200705;17.51684054
247;55.00171204;17.69200705;17.86892619
248;56.16338656;17.69200706;17.86892718
249;56.16338583;17.69200706;17.86892708
250;56.16338468;17.69200706;17.86892687
251;56.1633854;17.69200706;17.86892691
252;56.1633858;17.69200706;17.86892685
253;56.32503167;17.69200706;17.868927
254;56.32503227;17.69200706;17.86892683
255;56.32503331;17.69200706;17.86892714
256;56.3250335;17.69200706;17.86892761
257;77.81590223;17.69200706;19.41498811
258;56.38139123;17.69200706;19.41886982
259;56.32503457;17.69200706;19.42275174
260;56.32503353;17.69200706;19.42275258
261;56.32502894;17.69200706;19.42275314
262;52.40863457;17.69200706;19.43441241
263;43.28350419;17.69200705;19.43830099
264;43.2835044;17.69200705;19.42275387
265;50.68589851;17.69200705;19.42275241
266;50.68589858;17.69200705;17.86893607
267;50.70289186;17.69200705;17.86893238
268;50.70289329;17.69200705;17.86892812
269;52.48206442;17.69200705;17.86892797
270;50.6858991;17.69200705;17.86893184
271;55.54737403;17.69200705;18.49595687
272;56.32503347;17.69200706;19.42275325
273;56.25747209;17.69200706;19.42275262
274;55.5473709;17.69200706;19.42275119
275;53.74476696;17.69200706;19.42275343
276;53.75552601;17.69200706;19.42275606
277;56.32503051;17.69200706;19.42275465
278;55.54737224;17.69200706;19.4227517
279;56.32503142;17.69200706;19.4227505
280;56.32503148;17.69200706;19.42275158
281;56.32503422;17.69200706;19.42275289
282;56.32503234;17.69200706;19.42275176
283;56.32503246;17.69200706;19.42274874
284;56.32503058;17.69200706;19.42274323
285;45.91349052;17.69200706;18.54782651
286;44.18004082;17.69200706;18.55153554
287;17.69201081;17.69200705;17.69201104
288;17.69200956;17.69200705;17.69200949
289;17.69200772;17.69200705;17.69200768
290;17.69200766;17.69200705;17.69200814
291;17.69200574;17.69200704;17.69200672
292;17.69200663;17.69200704;17.69200936
293;17.69201289;17.69200705;17.86891685
294;17.69200689;17.69200705;17.86891905
295;38.21440249;17.69200705;38.5965461
296;76.69993051;17.69200706;78.24159872
297;75.49000215;17.69200706;77.31534738
298;57.45716778;17.69200706;78.24160243
299;57.45716665;17.69200706;79.10310648
300;57.45716607;17.69200706;81.59640607
301;57.45716641;17.69200706;81.61273116
302;57.45716575;17.69200706;81.62906419
303;57.45716571;17.69200706;83.87102517
304;57.45716568;17.69200706;83.8710316
305;57.45716585;17.69200706;83.87103196
306;57.45716611;17.69200706;83.87103211
307;57.45716469;17.69200706;83.18665978
308;64.22842881;17.69200706;83.8710316
309;50.68590073;17.69200706;81.74343171
310;57.45716474;17.69200705;81.75978456
311;43.91463262;17.69200705;81.77613544
312;50.68589794;17.69200705;81.79249364
313;50.68589789;17.69200705;81.8088554
314;50.68589822;17.69200705;81.82522034
315;50.68589796;17.69200705;81.84158834
316;50.68589084;17.69200705;81.85795948
317;50.68590662;17.69200705;81.87433504
318;57.45716059;17.69200705;81.89071416
319;57.45716617;17.69200705;83.38655849
320;57.45716468;17.69200705;83.4032416
321;57.45716488;17.69200706;83.8710302
322;57.45716496;17.69200706;83.43662645
323;57.45716507;17.69200706;83.87103125
324;57.45716523;17.69200706;83.87102827
325;57.4571655;17.69200706;83.87103063
326;57.45716678;17.69200706;83.87103214
327;76.69991477;17.69200706;83.87103017
328;79.64147004;17.69200706;83.87104472
329;79.71413298;17.69200706;83.87103274
330;79.67334073;17.69200706;83.87103174
331;79.71413191;17.69200706;83.87103156
332;76.69993283;17.69200706;82.1203529
333;76.69991969;17.69200705;82.13677916
334;57.45716671;17.69200705;82.15320949
335;57.45716557;17.69200705;82.16964034
336;57.45716555;17.69200705;78.07677593
337;57.45716544;17.69200705;82.20252002
338;57.4571647;17.69200705;82.21896438
339;57.45716455;17.69200705;82.2354102
340;57.4571646;17.69200705;82.25185973
341;57.45716509;17.69200705;82.26831607
342;57.45716565;17.69200705;83.87102513
343;57.4571657;17.69200705;83.87102931
344;57.45716514;17.69200705;83.87102919
345;57.45716504;17.69200705;83.87102933
346;57.45716496;17.69200706;77.16135748
347;57.45716495;17.69200706;77.16135758
348;57.45716487;17.69200706;77.1613441
349;57.4571652;17.69200706;78.2415938
350;57.45716529;17.69200706;78.24159836
351;57.45716532;17.69200706;78.24159741
352;57.4571648;17.69200706;77.16135816
353;57.45716505;17.69200706;83.87102609
354;57.45716548;17.69200706;83.87102497
355;57.45716509;17.69200706;82.49901275
356;57.45716499;17.69200706;80.88965104
357;57.4571657;17.69200706;77.1613218
358;57.89190723;17.69200706;59.05553326
359;43.47987847;17.69200705;44.35378751
360;43.91464488;17.69200705;44.35379115
361;43.9146428;17.69200705;44.35377614
362;43.47983768;17.69200705;43.91463444
363;43.47983693;17.69200705;43.91463326
364;43.4798178;17.69200705;43.91461231
365;43.91462845;17.69200705;43.91463336
366;43.91463435;17.69200705;43.91463534
367;50.30059958;17.69200706;50.30059986
368;64.61372951;17.69200706;64.61373154
369;57.45716452;17.69200706;57.45716524
370;57.4571628;17.69200706;38.0630385
371;56.32504945;17.69200706;17.86892684
372;56.32503567;17.69200705;17.51684063
373;57.45715814;17.69200706;17.86892673
374;57.45716242;17.69200706;35.72185143
375;53.11664399;17.69200706;17.86892786
376;73.47965085;17.69200706;38.82810451
377;77.1686127;17.69200706;78.71970075
378;57.45716434;17.69200706;57.45716629
379;57.45716519;17.69200706;57.45716587
380;57.45716271;17.69200706;57.45716246
381;38.82810254;17.69200706;38.82810222
382;17.8689275;17.69200705;17.86892707
383;17.69200721;17.69200705;17.69200912
384;17.69200633;17.69200704;17.69200724
385;17.69200606;17.69200704;17.69200679
386;17.69200646;17.69200704;17.69200687
387;17.69200601;17.69200704;17.69200659
388;17.69200608;17.69200704;17.69200657
389;17.69200716;17.69200704;17.69200725
390;17.86892848;17.69200705;17.8689269
391;63.70874471;17.69200706;19.2304414
392;63.70874834;17.69200706;63.70873823
393;57.45716564;17.69200706;57.45712751
394;57.45716185;17.69200705;17.51683909
395;57.45716051;17.69200705;17.51683967
396;57.45715786;17.69200705;17.51683917
397;76.69991869;17.69200706;17.69084005
398;57.45716041;17.69200705;17.5168393
399;56.32507272;17.69200705;17.51683977
400;73.83321335;17.69200706;17.5168413
401;77.73471965;17.69200706;77.73472235
402;76.69993362;17.69200706;76.69993466
403;57.45716548;17.69200706;57.45716564
404;75.64096592;17.69200706;75.64096508
405;37.0091055;17.69200706;31.47507935
406;46.69987825;17.69200706;31.47507915
407;31.47507857;17.69200705;31.47507881
408;28.67036949;17.69200705;28.95707215
409;28.67036895;17.69200705;28.95707192
410;17.86901484;17.69200705;18.04770503
411;17.69200854;17.69200705;17.86892955
412;17.69200694;17.69200705;17.86893284
413;17.69200689;17.69200705;18.04761551
414;28.38639961;17.69200705;28.95697096
415;75.64095827;17.69200706;83.32831632
416;76.69992521;17.69200706;83.52845375
417;76.69991237;17.69200706;83.52847246
418;57.45716676;17.69200706;83.54515046
419;57.45716568;17.69200706;83.56189343
420;57.4571653;17.69200706;76.84617506
421;57.45716537;17.69200706;77.16134549
422;57.45716565;17.69200706;78.24158954
423;57.45716963;17.69200706;83.62877667
424;58.02610753;17.69200706;85.22440468
425;58.03767765;17.69200706;85.22440466
426;57.45716658;17.69200706;83.67897472
427;57.45716598;17.69200706;83.52845248
428;57.45716593;17.69200706;77.16134255
429;63.27732281;17.69200706;63.2773247
430;17.86892713;17.69200705;17.86892727
431;53.55434973;17.69200705;17.8689274
432;17.86891306;17.69200705;17.86891221
433;17.86890533;17.69200705;17.86890545
434;17.6920065;17.69200704;17.69200624
435;17.51683997;17.69200704;17.51683985
436;17.51683736;17.69200703;17.51683851
437;17.34340685;17.69200702;17.51683697
438;17.34344059;17.69200703;17.51683861
439;17.69200705;17.69200705;17.69200773
440;56.32503196;17.69200706;17.8689269
441;30.73998556;17.69200705;17.86892681
442;17.86895101;17.69200706;17.86892689
443;37.36044512;17.69200706;36.99055652
444;36.99055804;17.69200706;36.99055678
445;30.73998797;17.69200706;31.04738555
446;55.43032157;17.69200706;55.4303237
447;54.33812405;17.69200706;55.43031882
448;60.3967063;17.69200706;77.1613391
449;57.45717727;17.69200706;78.24160101
450;57.45716662;17.69200706;77.16134562
451;57.45716426;17.69200706;58.61205345
452;59.48400198;17.69200706;60.6796302
453;54.3381244;17.69200706;55.43032056
454;54.33811486;17.69200705;55.43031078
455;17.69200671;17.69200705;18.04761556
456;17.69200688;17.69200705;17.86893505
457;17.69200601;17.69200705;17.86892712
458;17.69200609;17.69200704;17.86892651
459;17.69199543;17.69200704;17.8689158
460;17.34340688;17.69200703;17.51684069
461;17.34340549;17.69200703;17.51683917
462;17.34340579;17.69200703;17.51683891
463;17.69200756;17.69200705;17.69200796
464;70.58112171;17.69200705;17.86892723
465;57.45716601;17.69200705;17.86892683
466;73.93239049;17.69200706;17.86892685
467;56.32503319;17.69200705;17.86892659
468;56.32503333;17.69200706;17.86892675
469;56.32503319;17.69200706;17.86892671
470;75.64097438;17.69200706;17.86892862
471;56.32503415;17.69200706;17.86892678
472;74.02117103;17.69200706;17.86892733
473;74.03596918;17.69200706;17.86892727
474;59.07431757;17.69200706;17.86892694
475;53.57574871;17.69200705;17.86892625
476;17.86892884;17.69200705;17.86892558
477;17.34340447;17.69200703;17.34340432
478;17.34340322;17.69200703;17.34340269
479;15.94464208;17.69200702;15.94464296
480;16.10394938;17.69200701;16.10395113
481;15.78676976;17.692007;15.78677093
482;15.94454933;17.692007;16.10399424
483;15.63048592;17.692007;15.78678926
