Tech;InvCost;FuelType;FuelPrice;FuelCO2;Fuelk;Fuelm;FixOM;VarOM;Efficiency;Alpha;Carrier;Lifetime;CRF;LoadFactor;MinLoad;StartTime;StartCost;StartFuel;StartFuelType;PartLoad;PartLoadCost;StartCO2;Emission;PartLoadCO2;Space_m2
COCHP;2012.755537;Coal;9.77;25.93;0.0032;5.8613;32.91118;3.08;0.54;0.15;EL, HEAT;25;0.070952457;0.85;0.3;12;56.9;2.93;Coal;0.5;9.073968254;1.00286868;0.342276;0.017516684;50
GTSC;552.9538134;NatGas;34.27;15.68;0.0055;18.332;19.14071;4.25;0.43;0;EL;25;0.070952457;0.85;0.2;0.5;20.2;0.45;NatGas;0.5;20.9869186;0.0931392;0.206976;0.003019784;0.02
CCGT;850.6981744;NatGas;34.27;15.68;0.0055;18.332;27.6476907;4.25349087;0.63;0.15;EL, HEAT;25;0.070952457;0.85;0.4;2;42.9;0.05;NatGas;0.5;39.10021084;0.0103488;0.206976;0.003019784;0.02
GEBG;903.8668103;Biogas;21.42857143;15.68;0.0055;18.332;9.038668103;6.380236308;0.47;0;EL;25;0.070952457;0.85;0.5;0.3;20.2;0.45;Biogas;0.5;51.97294148;0.0931392;0.206976;0.00482944;0.03
WCHP;7518.045116;Waste;1;10;0;0;172.2663803;27.15853922;0.22;0.3;EL, HEAT;25;0.070952457;0.85;0.2;2;56.9;0.3;Waste;1.5;7.925998441;0.0396;0.132;0.198;0.8
WBO;1637.593986;Waste;1;10;0;0;68.80021485;9.006766921;1.06;1;HEAT;25;0.070952457;0.85;0.7;12;56.9;0.3;Waste;1.5;23.21704735;0.0396;0.132;0.198;0.54
WCCHP;2445.757251;Biomass;30;30.68;0.006666667;30;65.92910852;2.871106339;0.39;0.4;EL, HEAT;25;0.070952457;0.85;0.45;12;56.9;2.93;Biomass;1.5;65.28614994;1.18657968;0.404976;0.0202488;0.06
WPCHP;2020.408164;Biomass;30;30.68;0.006666667;30;52.10526318;1.16970999;0.43;0.52;EL, HEAT;25;0.070952457;0.85;0.15;12;56.9;2.93;Biomass;1.5;12.51832091;1.18657968;0.404976;0.0202488;0.04
SOFC;850.6981744;EL;0;0;0;0;42.53490872;0;0.6;0;EL, H2;20;0.080242587;0.85;0.7;25;0;0;EL;0;0;0;0;0;0.05
WON;1090.288175;RE;0;0;0;0;15.60206928;1.84946164;1;0;EL;30;0.065051435;0.85;0;0;0;0;RE;0;0;0;0;0;171.26
WOFF;1640;RE;0;0;0;0;33;3.25;1;0;EL;30;0.065051435;0.85;0;0;0;0;RE;0;0;0;0;0;171.26
PVROOF;640;RE;0;0;0;0;8.9;0;1;0;EL;40;0.058278161;0.85;0;0;0;0;RE;0;0;0;0;0;4.04
PVUTIL;290;RE;0;0;0;0;7.4;0;1;0;EL;40;0.058278161;0.85;0;0;0;0;RE;0;0;0;0;0;10.84
PVTRACK;350;RE;0;0;0;0;9;0;1;0;EL;40;0.058278161;0.85;0;0;0;0;RE;0;0;0;0;0;14.09
HPAIR;808.1632657;RE;0;0;0;0;2.126745436;1.797099893;3.9;3.9;HEAT;25;0.070952457;0.85;0.25;1;0;0;RE;0;0.599033298;0;0;0;0.6
HPEX;606.1224493;EL;0;0;0;0;2.126745436;1.797099893;5.5;5.5;HEAT;25;0.070952457;0.85;0.25;1;0;0;EL;0;0.599033298;0;0;0;0.03
HPSW;404.0816328;RE;0;0;0;0;4.253490872;1.775832439;3.8;3.8;HEAT;25;0.070952457;0.85;0.25;2;0;0;RE;0;0.591944146;0;0;0;0.03
HBW;489.1514501;Biomass;30;30.68;0.006666667;30;38.3877551;4.59377014;1.15;1.15;HEAT;25;0.070952457;0.85;0.4;8;56.9;2.93;Biomass;1.5;20.45381777;1.18657968;0.404976;0.0202488;0.05
EB;63.80236308;EL;0;0;0;0;0.978302901;1.063372718;0.99;0.99;HEAT;25;0.070952457;0.85;0.05;0.1;0;0;EL;0;0.055966985;0;0;0;0.05
GB;53.1686359;NatGas;34.27;15.68;0.0055;18.332;1.807733621;1.063372718;1.04;1.04;HEAT;25;0.070952457;0.85;0.15;0.4;0;0.45;NatGas;0.5;6.002699258;0.0931392;0.206976;0.003019784;0.01
AEC;275;EL;0;0;0;0;0.04;0;0.699;0;H2;25;0.070952457;0.85;0;0;0;0;EL;0;0;0;0;0;0.065719149
PEMEC;325;EL;0;0;0;0;0.02;0;0.664;0;H2;25;0.070952457;0.85;0;0;0;0;EL;0;0;0;0;0;0.025515957
HYD;9000;RE;0;0;0;0;8.5072;0;0.99;0;EL;50;0.054776735;0.85;0;0;0;0;RE;0;0;0;0;0;1.1
