osm_id;lines_id;types;voltage;cables;wires;circuits;node_from;station_from;node_from_lon;node_from_lat;node_to;station_to;node_to_lon;node_to_lat;length_km
50163660-1_0;L1;line;130.0;3;single;1;SVE1;1;13.1719277;57.4709059;MAR1;2;12.6724466;57.4864854;32.34090998393128
1125021775-1_0;L2;line;130.0;3;single;1;BOR1;4;12.8551043;57.7118893;MAR1;2;12.6770919;57.5167511;25.765319476892923
1125534341-1_0;L3;line;130.0;3;single;1;BOR5;9;12.9009712;57.6358189;SVE1;1;13.1718967;57.4712554;24.868053826756302
17258783-1_0;L4;line;130.0;3;single;1;BOL1;3;12.565793;57.7519986;LER1;77;12.3493562;57.7935402;13.862289596659156
146501745-1_1;L5;line;130.0;3;single;1;BOR6;10;13.0304337;57.7821402;BOR3;6;12.9715827;57.7616388;4.485146871038339
254066738-1_0;L6;line;130.0;3;single;1;LER1;77;12.3199772;57.8027164;ALI1;13;12.5066103;57.9142067;18.682588466398485
378493914-1_0;L7;line;130.0;3;single;1;BOL1;3;12.5657266;57.7519064;BOR1;4;12.8549642;57.7126692;18.83953340887784
1124695973-1_0;L8;cable;130.0;6;double;2;ALI2;14;12.5017154;57.9508506;ALI1;13;12.5080602;57.9269279;4.05283547587075
1125021773-1_0;L9;line;130.0;3;single;1;BOR1;4;12.8557809;57.7132526;BOR6;10;13.0303223;57.7823093;39.525652455105025
1125021773-1_1;L10;line;130.0;3;single;1;BOR6;10;13.0303223;57.7823093;ULR1;48;13.4195894;57.8234457;39.525652455105025
1125021774-1_0;L11;line;130.0;3;single;1;BOR1;4;12.8555314;57.7132608;ALI1;13;12.5071292;57.9143098;31.418492020642592
1125021776-1_0;L12;line;130.0;3;single;1;BOR5;9;12.9009712;57.6358189;BOR7;11;12.8762629;57.6870333;6.869809724631275
1125021781-1_0;L13;line;130.0;6;double;2;BOR7;11;12.8762629;57.6870333;BOR1;4;12.8574277;57.7115512;3.3656874012054927
1125534307-1_0;L14;cable;130.0;3;single;1;BOR2;5;12.9154854;57.7156477;BOR1;4;12.8739644;57.7109255;2.698578454816566
1125534330-1_0;L15;cable;130.0;3;single;1;BOR4;8;12.9150839;57.6570296;BOR2;5;12.9202428;57.7098967;6.525156195485123
1125534335-1_0;L16;cable;130.0;3;single;1;BOR5;9;12.9014364;57.636412;BOR4;8;12.9151597;57.6569101;2.7899096027369
56316997-1_0;L17;line;130.0;3;single;1;VAR1;19;12.920956;58.2139921;TRO1;15;12.3162733;58.2498165;36.36357052407356
88145929-1_1;L18;line;130.0;3;single;1;VAN3;22;12.307297;58.3429622;TRO4;18;12.2418628;58.3201043;5.9526808075313555
184135990-1_0;L19;line;130.0;3;single;1;TRO1;15;12.3120408;58.254433;TRO2;16;12.3341075;58.2965954;6.135877294972764
264001518-1_0;L20;line;130.0;3;single;1;TRO1;15;12.3127894;58.2538023;LID1;40;13.1838182;58.4747694;57.616564555142524
304143872-1_0;L21;line;130.0;3;single;1;VAN1;20;12.3743093;58.3581879;VAN4;23;12.2433415;58.3398417;8.256803249930252
304149870-1_0;L22;line;130.0;3;single;1;VAN1;20;12.3743815;58.3580123;VAN2;21;12.3363292;58.3645724;3.9766296733230653
1121671573-1_0;L23;line;130.0;3;single;1;VAN2;21;12.3361497;58.3645421;VAN3;22;12.3075395;58.3429956;4.500244746882023
1123679928-1_0;L24;line;130.0;3;single;1;FAL2;47;13.5312733;58.170986;VAR1;19;12.9211243;58.2139791;36.42238872142538
1123761289-1_0;L25;line;130.0;3;single;1;LIL1;91;12.1330312;58.1178797;TRO1;15;12.3162733;58.2498165;18.973244411386574
279356170-1_0;L26;line;130.0;3;single;1;MEL3;27;12.3711523;58.6150319;TRO3;17;12.2374659;58.2811177;39.0335343777244
358261834-1_0;L27;line;130.0;3;single;1;MEL4;28;12.3874498;58.6387522;MEL2;26;12.497126;58.6150508;7.41494940817757
358923424-1_0;L28;line;130.0;3;single;1;AMA2;31;12.5572176;58.8795344;MEL1;25;12.4209996;58.6951329;22.665574926058834
1121671509-1_0;L29;line;130.0;3;single;1;MEL1;25;12.4211191;58.6950681;MEL3;27;12.3711523;58.6150319;9.610429376886923
358352392-1_1;L30;line;130.0;3;single;1;DAL2;95;11.9351917;58.8919571;BEN1;29;12.265032;59.0046483;25.53775269607713
662261543-1_0;L31;line;130.0;3;single;1;AMA1;30;12.684606;59.064185;BEN1;29;12.2651908;59.0046131;27.12866504688397
1014585748-1_0;L32;line;130.0;3;single;1;AMA1;30;12.6587939;59.0349345;AMA2;31;12.5572176;58.8795344;18.37660130933914
58212455-1_0;L33;line;130.0;3;single;1;GOT1;107;13.4802187;58.5405249;SKO1;32;13.7140119;58.5422642;15.729041795370454
281023696-1_0;L34;line;130.0;3;single;1;SKO1;32;13.7140119;58.5422642;MRS2;39;13.8402164;58.6542192;16.04580071126408
281023702-1_0;L35;line;130.0;6;double;2;MRS2;39;13.8402164;58.6542192;MRS1;38;13.8213587;58.6966319;4.98545529611714
281023709-1_0;L36;line;130.0;3;single;1;TOR1;52;14.0324847;58.6117571;SKO1;32;13.7142667;58.5422968;20.33106557895867
307802725-1_0;L37;line;130.0;3;single;1;GOT2;108;13.3260015;58.4997555;GOT1;107;13.4796565;58.5401201;10.468631051292533
307802726-1_0;L38;line;130.0;3;single;1;GOT3;109;13.2847919;58.4974509;GOT4;110;13.4351836;58.6332631;18.129432676538862
