bus_id;station_id;node_id;voltage;symbol;substation;import_trans;KnKod;KnNamn;municipality;lon;lat;vor_id;area_m2
1;1;SVE1;132.0;substation;transmission;True;1465;Svenljunga;Svenljunga;13.1724;57.4709;2;669819998.0943106
2;2;MAR1;132.0;substation;transmission;False;1463;Mark;Mark;12.6749;57.5021;57;909299933.6480594
3;3;BOL1;132.0;substation;transmission;False;1443;Bollebygd;Bollebygd;12.5658;57.7519;44;481572565.6779318
4;4;BOR1;132.0;substation;transmission;False;1490;Borås;Boras;12.8565;57.712;35;289027501.03818727
5;5;BOR2;132.0;substation;transmission;False;1490;Borås;Boras;12.9182;57.7175;31;37750681.12218192
6;6;BOR3;132.0;substation;transmission;False;1490;Borås;Boras;12.9646;57.7574;32;183863509.06869555
8;8;BOR4;132.0;substation;transmission;False;1490;Borås;Boras;12.9151;57.657;33;84636991.37941876
9;9;BOR5;132.0;substation;transmission;False;1490;Borås;Boras;12.9012;57.6362;17;272971851.21599495
10;10;BOR6;132.0;substation;transmission;False;1490;Borås;Boras;13.0305;57.7822;16;602559450.7304702
11;11;BOR7;132.0;substation;transmission;False;1490;Borås;Boras;12.8763;57.687;34;33849324.904924236
13;13;ALI1;132.0;substation;transmission;False;1489;Alingsås;Alingsas;12.5088;57.9239;45;241916706.30868107
14;14;ALI2;132.0;substation;transmission;False;1489;Alingsås;Alingsas;12.5011;57.9653;66;546048636.8274771
15;15;TRO1;132.0;substation;transmission;False;1488;Trollhättan;Trollhattan;12.3003;58.262;62;203336053.74247146
16;16;TRO2;132.0;substation;transmission;False;1488;Trollhättan;Trollhattan;12.3223;58.3001;65;63280597.53102107
17;17;TRO3;132.0;substation;transmission;True;1488;Trollhättan;Trollhattan;12.2323;58.2836;63;111979040.05509019
18;18;TRO4;132.0;substation;transmission;False;1488;Trollhättan;Trollhattan;12.2517;58.3208;67;13541015.910905518
19;19;VAR1;132.0;substation;transmission;False;1470;Vara;Vara;12.921;58.2139;49;1373078569.8481772
20;20;VAN1;132.0;substation;transmission;False;1487;Vänersborg;Vanersborg;12.3749;58.3585;47;330703050.2205831
21;21;VAN2;132.0;substation;transmission;False;1487;Vänersborg;Vanersborg;12.3361;58.3647;48;74444523.47157297
22;22;VAN3;132.0;substation;transmission;False;1487;Vänersborg;Vanersborg;12.3074;58.3428;61;21966124.518100414
23;23;VAN4;132.0;substation;transmission;False;1487;Vänersborg;Vanersborg;12.2433;58.3398;60;196833241.59061667
25;25;MEL1;132.0;substation;transmission;False;1461;Mellerud;Mellerud;12.4212;58.6952;28;224289395.05021065
26;26;MEL2;132.0;substation;transmission;False;1461;Mellerud;Mellerud;12.4972;58.6149;50;191630841.91871816
